飯廳,png7-thiann1
搬搬出去,puann1-puann1--tshut4-khi3
飛出來,pue1--tshut4-lai5
跳,thiau3
出來,tshut4-lai5,tshut4--lai5
嚇驚,hennh4-kiann1
衫,sann1
挔,hiannh4
洗,se2
被單,phue7-tuann1
曝曝咧,phak8-phak8--leh4
走矣,tsau2--ah4
聲,siann1
趕出來,kuann2--tshut4-lai5
反反出來,ping2-ping2--tshut4-lai5
搤搤出來,iah4-iah4--tshut4-lai5
掖掖出來,ia7-ia7--tshut4-lai5
罐,kuan3
倒倒出來,to3-to3--tshut4-lai5
趕,kuann2
作文,tsok4-bun5
字,ji7
水矣,tsui2--ah4
門,mng5
輪椅,lun5-i2
捒,sak4
開開,khui1--khui1,khui1-khui1
毋才,m7-tsiah4
客廳,kheh4-thiann1
為著,ui7-tioh8
前途,tsian5-too5
盤,puann5
嶺,nia2
這馬,tsit4-ma2
喘,tshuan2
等我一下,tan2--gua2--tsit8-e7
騎,khia5
過來,kue3-lai5
載,tsai3
順紲,sin7-sua3,sun7-sua3
斡,uat4
載你,tsai3--li2
面頂,bin7-ting2
幌,hainn3
過去,kue3-khi3,ke3-khi3,kue3--khi3
胡蠅,hoo5-sin5
門跤口,mng5-kha1-khau2
踅,seh8
阿娘喂,a1-nia5-ue5
後,au7
個,ko3
月,gueh8
電,tian7
同齊,tang5-tse5
起價,khi2-ke3
性地,sing3-te7
活欲,uah8-beh4
惱死,loo2--si2
只要,tsi2-iau3
永遠,ing2-uan2
看起來,khuann3--khi2-lai5
嬈呢,hiau5--neh4
兩爿,nng7-ping5
起來,khit4--lai5,khi2-lai5
拭一下,tshit4--tsit8-e7
起來矣,khit4--lai5--ah4
同,tong5
入,jip8
花園,hue1-hng5
天地,thinn1-te7
二,ji7,li7
高堂,ko1-tong5
夫妻,hu1-tshe1
送入,sang3-jip8
洞房,tong7-pong5
珠寶,tsu1-po2
囥入去,khng3--jip8-khi3
跋入去,puah8--jip8-khi3
死矣,si2--ah4
倚來,ua2--lai5,ua2-lai5
客氣,kheh4-khi3
過身去,kue3-sin1--khi3
阿好姨,a1-ho2-i5
過去矣,kue3--khi3--ah4
兜,tau1
電影院,tian7-iann2-inn7
那,na2
逐,tak8
透早,thau3-tsa2
便當,pian7-tong1
捾,kuann7
賣,be7
時間,si5-kan1
入去,jip8--khi3,lip8-khi3,jip8-khi3,lip8--khi3
想來想去,siunn7-lai5-siunn7-khi3
碗,uann2
米糕出來,bi2-ko1--tshut4-lai5
起去,khit4--li3,khi2-li3
落來,loh8--lai5,loh8-lai5
到矣,kau3--ah4
歇睏,hioh4-khun3
海裡,hai2--li2
枵死,iau1--si2
驚死,kiann1--si2
氣死,khi3-si2
直直,tit8-tit8
拚暝工,piann3-me5-kang1
總,tsong2
忝死,thiam2--si2
甘願呢,kam1-guan7--nih4
拍斷,phah4-tng7
手骨,tshiu2-kut4
勇,iong2
拍開,phah4--khui1
掀掀開,hian1-hian1--khui1
布,poo3
掀,hian1
電火,tian7-hue2
捙倒矣,tshia1--to3--ah4
捙倒,tshia1-to2
捙,tshia1
桌頂矣啦,toh4-ting2--ah4--lah4
食兩碗仔,tsiah8--nng7-uann2-a2
啉幾杯仔,lim1--kui2-pue1-a2
愛的呢,ai3--e5--neh4
為啥物,ui7-siann2-mih8,ui7-siann2-mih4
擲掉,tan3-tiau7
收擔,siu1-tann3
厝矣,tshu3--ah4
份,hun7
掉,tiau7
害去,hai7--khi3
電火球仔,tian7-hue2-kiu5-a2
抨抨掉,phiann1-phiann1--tiau7
日語,jit8-gi2
外來詞,gua7-lai5-su5
蔡,tshua3
摻,tsham1
檸檬,le5-bong2
味,bi7
厚,kau7
芳,phang1
各位,kok4-ui7
來賓,lai5-pin1
歡迎,huan1-ging5
見,kian3,kinn3
展覽,tian2-lam2
祝,tsiok4
健康,kian7-khong1
快樂,khuai3-lok8
萬事,ban7-su7
如意,ju5-i3,lu5-i3
