oreo1 1.0	oreo1
ho2-tsiah8 1.0	ho2 tsiah8
au7--jit8 1.0	au7 jit8
am3-si5 1.0	am3 si5
pan7 1.0	pan7
tiunn5 1.0	tiunn5
party1 1.0	party1
kong1-hng5-lai7 1.0	kong1 hng5 lai7
hiah4 1.0	hiah4
pokémon4 1.0	pokémon4
tshiunn7-a2-tui7 1.0	tshiunn7 a2 tui7
kong3 1.0	kong3
tsiann5 1.0	tsiann5
tsit8-e7-a2 1.0	tsit8 e7 a2
gg 1.0	gg
ptt 1.0	ptt
phoo1 1.0	phoo1
bun5 1.0	bun5
tau5 1.0	tau5
pe7-bu2 1.0	pe7 bu2
khah4-ho2 1.0	khah4 ho2
tshap4--i1 1.0	tshap4 i1
thing5-sik4 1.0	thing5 sik4
python1 1.0	python1
sia2--e5 1.0	sia2 e5
gi2-huat4 1.0	gi2 huat4
kan2-tan1 1.0	kan2 tan1
js 1.0	js
javascript4 1.0	javascript4
be7-ki3--tsit4--ah4 1.0	be7 ki3 tsit4 ah4
react1 1.0	react1
redux1 1.0	redux1
tso3-hue2 1.0	tso3 hue2
iong7-tioh8 1.0	iong7 tioh8
sia2 1.0	sia2
thiam2-thau5 1.0	thiam2 thau5
webpack1 1.0	webpack1
django1 1.0	django1
khai1-guan5 1.0	khai1 guan5
khing1 1.0	khing1
nng2-the2 1.0	nng2 the2
mvt 1.0	mvt
boo5-sik4 1.0	boo5 sik4
hun1-piat8 1.0	hun1 piat8
tai7-piau2 1.0	tai7 piau2
model1 1.0	model1
boo5-hing5 1.0	boo5 hing5
view1 1.0	view1
kai3-bin7 1.0	kai3 bin7
template4 1.0	template4
pang1-boo5 1.0	pang1 boo5
nodejs1 1.0	nodejs1
tsau2--e5 1.0	tsau2 e5
tua7 1.0	tua7
mng5 1.0	mng5
kho3 1.0	kho3
kau3 1.0	kau3
c-plus1-plus1--e5 1.0	c plus1 plus1 e5
c--e5 1.0	c e5
li2--leh4 1.0	li2 leh4
tiida 1.0	tiida
au7-tau2 1.0	au7 tau2
ka2-na2 1.0	ka2 na2
toyota1 1.0	toyota1
camry1 1.0	camry1
kuan3-si3 1.0	kuan3 si3
nia2 1.0	nia2
t-shirt1 1.0	t shirt1
jiau5-jiau5 1.0	jiau5 jiau5
ut4-ut4--leh4--lah4 1.0	ut4 ut4 leh4 lah4
vr 1.0	vr
mia5-su5 1.0	mia5 su5
gpu 1.0	gpu
siat4-pi7 1.0	siat4 pi7
ai 1.0	ai
phann7--e5 1.0	phann7 e5
kong2--tioh8 1.0	kong2 tioh8
be7-su1 1.0	be7 su1
than3-tua7-tsinn5 1.0	than3 tua7 tsinn5
kang5-khuan2 1.0	kang5 khuan2
ki1-khi3-lang5 1.0	ki1 khi3 lang5
tts 1.0	tts
hts 1.0	hts
tacotron1-two1 1.0	tacotron1 two1
tso3--e5 1.0	tso3 e5
thiann1-kue3 1.0	thiann1 kue3
abcd 1.0	abcd
pho7 1.0	pho7
ti1-a2 1.0	ti1 a2
khia5 1.0	khia5
gogoro1 1.0	gogoro1
tian7-tong7-tshia1 1.0	tian7 tong7 tshia1
tiam7-tiam7 1.0	tiam7 tiam7
m̄-koh4 1.0	m̄ koh4
ka1-iu5 1.0	ka1 iu5
tsi2-si7 1.0	tsi2 si7
put4-si5 1.0	put4 si5
bat8-te2-lih4 1.0	bat8 te2 lih4
sin1-tik4 1.0	sin1 tik4
tshia1-thau5 1.0	tshia1 thau5
sogo 1.0	sogo
ah8 1.0	ah8
kuinn1 1.0	kuinn1
ling2-khi3 1.0	ling2 khi3
tsau2--tshut4-lai5--ah4 1.0	tsau2 tshut4 lai5 ah4
tak8-pai2 1.0	tak8 pai2
sin1 1.0	sin1
tsau2-khi3 1.0	tsau2 khi3
pai5-tui7 1.0	pai5 tui7
tng3 1.0	tng3
visa 1.0	visa
teh4 1.0	teh4
sin3-iong7 1.0	sin3 iong7
kha2 1.0	kha2
khah4-ho7 1.0	khah4 ho7
master1 1.0	master1
gin5-hang5 1.0	gin5 hang5
sak4 1.0	sak4
jcb 1.0	jcb
sa1-bi3-su3 1.0	sa1 bi3 su3
e-tsai2-a2 1.0	e tsai2 a2
tian7-ue7 1.0	tian7 ue7
ko3 1.0	ko3
gueh8 1.0	gueh8
tiam3-lai7 1.0	tiam3 lai7
tshiau1-ke3 1.0	tshiau1 ke3
